transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000361445.4	MTOR	1	57	11167541	11319466	7650	3.23E-05	8.13E-05	8.04E-06	378	438	8	383.4894995	930.0350434	113.4431168	0.173782284	7.891558899	9.806609027	1
ENST00000294485.5	DRAXIN	1	6	11766315	11779753	1050	5.81E-06	1.29E-05	8.97E-07	51	116	13	57.65941329	125.4979832	10.94729187	0.543688476	0.414696357	-0.614558933	6.64E-10
ENST00000376819.3	ANGPTL7	1	5	11249636	11255080	1041	4.44E-06	1.13E-05	8.08E-07	60	140	12	52.0475106	128.9972009	11.13698105	-0.683364812	-0.473837605	-0.256168838	8.44E-09
ENST00000376592.1	MTHFR	1	11	11850736	11863173	1971	1.04E-05	2.33E-05	1.63E-06	131	236	14	120.4479425	264.1095685	22.58750634	-0.596058289	0.846016895	1.789874742	2.46E-07
ENST00000376480.3	NPPA	1	3	11906065	11907741	456	2.37E-06	5.09E-06	2.87E-07	32	77	3	28.066445	58.907644	4.50386626	-0.460299375	-1.152990879	0.701949982	0.016931635
ENST00000314340.5	AGTRAP	1	5	11796265	11810249	480	2.74E-06	6.16E-06	4.23E-07	40	64	3	31.91579475	69.43475825	6.452214963	-0.887123772	0.319012985	1.346272993	0.041663403
ENST00000294484.6	PTCHD2	1	20	11561049	11596743	4179	2.85E-05	5.76E-05	2.99E-06	278	503	15	314.4482667	627.9094426	40.44394928	1.274242621	2.43816477	3.963212678	4.17E-05
ENST00000359318.5	AADACL3	1	3	12779479	12785963	1053	4.52E-06	1.04E-05	4.65E-07	57	127	6	52.433433	119.1125771	6.52232633	-0.390962809	-0.353485401	0.202595761	0.000156334
ENST00000376189.1	PRAMEF6	1	3	12998504	13002348	1431	5.06E-06	1.27E-05	5.99E-07	3	6	0	19.84355543	49.83441005	3.588593922	2.344086268	3.037154953	1.876514205	0.691325858
ENST00000332296.7	PRAMEF1	1	3	12853376	12856145	1425	5.63E-06	1.35E-05	6.55E-07	31	99	3	64.99738	154.7671102	8.67487298	2.614249111	2.192578589	1.908597133	0.098105164
ENST00000357726.4	PRAMEF12	1	3	12835010	12837742	1452	5.94E-06	1.34E-05	7.99E-07	94	194	9	68.53439	153.5930854	10.315537	-1.906993724	-1.594726294	0.405739085	3.90E-06
ENST00000317869.6	HNRNPCL1	1	1	12907260	12908142	882	3.31E-06	8.78E-06	6.05E-07	43	123	4	37.86892	99.950581	7.2689393	-0.51691219	-1.127674555	1.201049934	0.010723266
ENST00000376259.3	TNFRSF1B	1	10	12227148	12267077	1386	9.63E-06	1.80E-05	1.02E-06	83	139	2	88.0156388	169.2113662	13.46147159	0.331433132	1.135984729	3.094452405	0.778880984
ENST00000376223.2	DHRS3	1	6	12628368	12677353	909	6.08E-06	1.26E-05	4.87E-07	56	89	1	67.27059961	137.4421274	7.514321851	0.851890564	2.021061451	2.35404091	0.661359704
ENST00000240189.2	PRAMEF2	1	3	12918864	12921634	1425	6.02E-06	1.28E-05	6.54E-07	66	177	6	69.4369	145.8118041	8.66578842	0.25569436	-1.263311447	0.897039036	0.00056761
ENST00000288048.5	C1orf158	1	4	12806378	12820884	585	2.46E-06	5.57E-06	4.21E-07	31	76	10	29.503466	64.7292197	6.44949421	-0.170804114	-0.68520464	-1.384895757	1.57E-08
ENST00000376187.1	PRAMEF22	1	3	13035542	13038381	1446	5.44E-06	1.41E-05	6.68E-07	3	1	0	14.86664235	40.90558546	2.791210797	1.907966787	3.05181978	1.654954381	0.617146896
ENST00000535591.1	PRAMEF11	1	3	12884799	12888523	1311	4.67E-06	1.16E-05	5.81E-07	29	81	2	53.49318545	130.4895847	7.719899047	2.076087316	2.119056143	2.039258447	0.285437975
ENST00000235349.5	PRAMEF4	1	3	12939364	12943215	1437	4.97E-06	1.28E-05	6.05E-07	27	78	3	55.85142299	143.0153521	7.925276232	2.393313392	2.659140418	1.733057841	0.074609525
ENST00000376221.1	AADACL4	1	4	12704565	12726746	1224	5.37E-06	1.30E-05	6.11E-07	54	198	6	62.509586	148.6989758	8.59863385	0.667244088	-1.97750787	0.877849457	0.000547686
ENST00000235347.4	PRAMEF10	1	3	12952746	12955678	1425	4.98E-06	1.29E-05	6.19E-07	5	21	0	44.11196287	112.5149532	6.523736684	3.650739676	4.219913393	2.530101331	0.875594719
ENST00000358136.3	VPS13D	1	69	12294323	12569078	13167	5.07E-05	0.000125566	1.13E-05	588	1301	28	600.8805541	1444.980101	156.1580317	0.325755287	1.852626086	10.15905674	0.999992132
ENST00000361079.2	PRAMEF7	1	3	12977512	12980233	1425	5.67E-06	1.33E-05	6.32E-07	1	4	1	26.50802908	57.18528372	2.225195343	3.071408732	3.44005806	0.813600042	0.176862963
ENST00000334600.6	PRAMEF14	1	3	13668904	13671691	1425	5.47E-06	1.34E-05	6.56E-07	1	0	0	22.55181109	45.98872695	2.234981925	2.813471268	3.31697476	1.480903323	0.559641613
ENST00000235372.7	PRDM2	1	8	14042100	14143042	5157	2.15E-05	4.94E-05	3.12E-06	294	538	5	243.2254489	554.0945794	37.49404214	-2.01832703	0.334429566	5.256688762	0.995040619
ENST00000428417.1	TMEM51	1	2	15541583	15546239	762	5.23E-06	8.83E-06	4.92E-07	49	99	0	60.06679	100.8941301	6.40911804	0.88522551	0.092233028	2.50777649	0.870759443
ENST00000540591.1	PRAMEF19	1	3	13695524	13698358	1440	5.57E-06	1.46E-05	8.53E-07	0	1	0	20.76851899	52.70614049	2.456810811	2.825219765	3.483597396	1.552657147	0.583094142
ENST00000294489.6	PDPN	1	6	13910300	13942406	717	4.54E-06	8.97E-06	6.63E-07	55	112	6	51.95369136	100.4163829	9.765330224	-0.262008484	-0.565402491	1.193573647	0.000983708
ENST00000375910.3	CELA2B	1	8	15802620	15817807	810	5.60E-06	9.53E-06	8.20E-07	52	95	7	66.752281	111.3046015	12.64529768	1.119374938	0.755909983	1.572577369	0.000617209
ENST00000375949.4	CTRC	1	8	15764960	15773084	807	5.29E-06	1.04E-05	7.28E-07	47	112	9	60.09617677	114.6780781	10.73412759	1.047298938	0.122321557	0.524309023	5.22E-06
ENST00000375980.4	EFHD2	1	4	15736467	15755220	723	6.17E-06	1.12E-05	3.56E-07	44	58	1	56.68917979	102.5971638	4.564669518	1.044799472	2.153556678	1.652738949	0.378995544
ENST00000376098.4	PRAMEF17	1	3	13716117	13718962	1425	5.22E-06	1.22E-05	6.34E-07	6	3	0	33.79519338	77.88977192	4.909924656	2.964091862	4.150484066	2.194962586	0.790929576
ENST00000376132.3	PRAMEF13	1	3	13448049	13450836	1425	5.47E-06	1.35E-05	6.53E-07	0	4	0	20.00377691	42.15331923	1.957392003	2.772716687	2.874305469	1.385889478	0.529422081
ENST00000359621.4	CELA2A	1	8	15783248	15798502	810	5.46E-06	9.97E-06	7.97E-07	50	98	10	65.224919	116.3153738	12.3835233	1.168685686	0.83064267	0.670945063	1.98E-06
ENST00000376030.2	KAZN	1	15	14925493	15441131	2328	1.68E-05	3.41E-05	2.03E-06	148	208	6	157.8776521	308.9766247	22.97558364	0.487354402	2.809793578	3.508173432	0.144589791
ENST00000375826.3	AGMAT	1	7	15900145	15911462	1059	7.28E-06	1.54E-05	5.95E-07	53	121	5	67.22737744	141.5230288	8.777690257	1.075725108	0.843808301	1.263065648	0.003672625
ENST00000375759.3	SPEN	1	15	16174562	16265922	10995	4.76E-05	0.000115097	7.74E-06	570	1082	2	542.1598877	1302.49508	92.78252758	-0.741236129	2.988320592	9.33595749	1
ENST00000375782.1	TMEM82	1	6	16069054	16074127	1032	6.91E-06	1.39E-05	6.87E-07	85	150	8	67.03081386	132.4810336	8.932808606	-1.360632106	-0.744473108	0.309163512	1.23E-05
ENST00000294454.5	SLC25A34	1	5	16062980	16065901	915	5.39E-06	1.14E-05	7.51E-07	55	134	6	54.80634864	114.7429809	9.687796575	-0.016216291	-0.879309953	1.173665039	0.000948153
ENST00000441801.2	FBLIM1	1	5	16091478	16101526	1125	6.44E-06	1.33E-05	1.01E-06	59	139	7	72.76691951	149.244342	13.23304888	1.000504921	0.410156754	1.697306398	0.00078906
ENST00000375799.3	PLEKHM2	1	20	16011053	16060429	3060	1.94E-05	3.80E-05	2.51E-06	177	309	9	157.7468784	304.4348227	26.83866763	-0.950319665	-0.127976177	3.410920589	0.005065575
ENST00000331433.4	CLCNKA	1	19	16349114	16360153	2064	1.15E-05	2.39E-05	1.74E-06	120	228	23	135.4660582	270.0317577	26.45761586	0.823786991	1.251085517	0.665872478	2.75E-14
ENST00000375847.3	DNAJC16	1	14	15855600	15894672	2349	9.52E-06	2.23E-05	2.25E-06	118	259	13	113.710493	258.2332286	31.37614959	-0.249376714	-0.023339553	3.249708896	3.79E-05
ENST00000375599.3	RSG1	1	5	16558542	16563237	777	4.75E-06	1.10E-05	3.91E-07	34	114	8	50.55957761	114.1864651	5.867866655	1.4437668	0.008536658	-0.871894477	1.08E-06
ENST00000270747.3	ARHGEF19	1	15	16525081	16535549	2409	1.39E-05	3.19E-05	2.31E-06	100	247	17	116.9940593	274.5597621	26.58410551	0.974015068	0.813530847	1.841324144	7.64E-09
ENST00000375662.4	FAM131C	1	7	16384931	16399937	843	5.60E-06	1.08E-05	8.05E-07	26	66	2	47.04600107	87.48615176	7.612109415	1.902206609	1.123583614	2.01494555	0.276924373
ENST00000358432.5	EPHA2	1	17	16451709	16482427	2931	2.01E-05	4.18E-05	2.33E-06	208	353	6	216.0135292	445.4527573	30.50129512	0.338011351	2.142573489	4.394602136	0.738294173
ENST00000311890.9	HSPB7	1	3	16342074	16344458	513	3.93E-06	7.83E-06	2.72E-07	47	69	3	43.67688878	85.72467736	4.025435202	-0.311722618	0.883530071	0.50628084	0.013149237
ENST00000375679.4	CLCNKB	1	19	16370987	16383411	2064	1.11E-05	2.37E-05	1.89E-06	129	245	21	130.2367141	267.5357396	27.85517774	0.067181103	0.673901766	1.286635328	7.81E-12
ENST00000375743.4	ZBTB17	1	14	16268463	16274990	2412	1.76E-05	3.38E-05	1.75E-06	143	162	1	178.7452101	340.8421612	22.52402374	1.657486486	4.738160709	4.492521444	0.998165365
ENST00000480945.1	DDI2	1	9	15944165	15983128	1200	5.21E-06	1.33E-05	1.24E-06	55	69	2	57.98426779	146.5980698	17.50041562	0.242958718	3.134753488	3.670361401	0.941088127
ENST00000345034.1	RSC1A1	1	1	15986363	15988217	1854	6.04E-06	1.53E-05	7.62E-07	83	218	11	68.87697	173.2528145	9.05322505	-1.054970564	-1.662808398	-0.640919931	1.46E-08
ENST00000329454.2	C1orf64	1	2	16330798	16332841	510	2.78E-06	5.48E-06	2.73E-07	38	70	3	30.69463772	59.30965881	3.631896664	-0.81744735	-0.678961671	0.328449755	0.010559209
ENST00000333868.5	CASP9	1	9	15819437	15850695	1251	6.66E-06	1.48E-05	9.27E-07	56	153	6	66.95541017	144.9721006	12.50785607	0.830013625	-0.326119058	1.822788097	0.003193956
ENST00000375592.3	FBXO42	1	9	16577164	16641913	2154	8.44E-06	2.13E-05	1.84E-06	102	183	3	98.4587352	243.1169377	24.40161375	-0.221248399	1.885842803	4.29167592	0.975946027
ENST00000375471.4	PADI1	1	16	17531712	17570738	1992	1.00E-05	2.20E-05	1.49E-06	129	303	18	110.354101	235.9110001	21.64818351	-1.100369599	-2.136454723	0.776704164	5.27E-11
ENST00000375541.5	CROCC	1	37	17248513	17298941	6054	3.79E-05	9.49E-05	5.59E-06	356	772	39	299.1385589	718.7546267	55.42530264	-2.038124776	-0.971422716	2.185491151	4.71E-20
ENST00000326735.8	ATP13A2	1	29	17312715	17338233	3543	2.33E-05	4.68E-05	3.02E-06	237	403	13	245.485606	480.7301444	40.6253654	0.335752334	1.734023877	4.293377809	0.001204951
ENST00000361221.3	ARHGEF10L	1	28	17907090	18023875	3840	2.42E-05	4.88E-05	3.01E-06	280	428	11	251.2283224	499.9359194	41.15703718	-1.125332158	1.573638186	4.656465083	0.038306294
ENST00000375486.4	PADI2	1	16	17395538	17445866	1998	1.24E-05	2.58E-05	1.84E-06	137	267	11	134.1768814	275.5702281	25.72989677	-0.151090387	0.252517395	2.876539656	0.000124031
ENST00000375448.4	PADI4	1	16	17634717	17690250	1992	1.13E-05	2.21E-05	1.55E-06	116	264	17	130.1935778	246.9803799	23.14017237	0.771164891	-0.529705579	1.264407383	1.30E-09
ENST00000375499.3	SDHB	1	8	17345375	17380514	843	3.21E-06	8.41E-06	1.12E-06	34	93	5	36.82963429	93.29709642	15.46501892	0.289054963	0.015044753	2.636055011	0.050102772
ENST00000443980.2	NECAP2	1	7	16767256	16785491	822	4.31E-06	9.33E-06	8.37E-07	51	88	8	49.66783682	104.3152217	11.74915545	-0.117183973	0.78133107	1.083477077	6.87E-05
ENST00000375535.3	MFAP2	1	8	17301414	17304768	552	3.09E-06	6.73E-06	6.51E-07	27	54	7	29.61373251	62.9919849	9.365707116	0.29775815	0.554152266	0.765738317	0.000124328
ENST00000335496.1	SPATA21	1	11	16725259	16757866	1410	6.76E-06	1.54E-05	1.18E-06	87	181	11	75.55287899	164.6193586	16.82655899	-0.816432365	-0.624461591	1.407032775	3.58E-06
ENST00000375436.4	RCC2	1	12	17735585	17765010	1569	1.14E-05	2.20E-05	1.71E-06	101	102	4	103.4189694	204.8102181	22.41430549	0.14746371	3.513798608	3.852853185	0.787633127
ENST00000401088.4	SZRD1	1	4	16693752	16721635	459	2.63E-06	5.47E-06	3.92E-07	18	34	0	24.981765	49.5407831	3.92996023	0.865970135	1.079960488	1.963738966	0.719865991
ENST00000251296.1	IGSF21	1	10	18434622	18704820	1404	9.67E-06	2.12E-05	1.16E-06	97	198	3	98.85089508	215.0615938	15.01122986	0.11540965	0.569055641	3.070923752	0.547298803
ENST00000375460.3	PADI3	1	16	17575632	17609574	1995	1.05E-05	2.32E-05	1.38E-06	116	284	17	121.7175344	261.9850076	21.61560684	0.321276604	-0.665268443	0.98341035	4.69E-10
ENST00000375406.1	ACTL8	1	2	18149503	18153014	1101	7.01E-06	1.48E-05	6.33E-07	83	127	3	80.28909	167.963038	8.01475246	-0.187558302	1.545971196	1.754664768	0.077144246
ENST00000375254.3	UBR4	1	106	19401325	19536742	15552	6.66E-05	0.000156841	1.19E-05	778	1258	8	771.5224985	1772.559174	175.7794165	-0.144571471	5.977937185	12.53557763	1
ENST00000400664.1	KLHDC7A	1	1	18807475	18809809	2334	1.61E-05	3.35E-05	1.07E-06	134	303	14	182.3981	380.2748699	12.5698838	2.221609143	1.938233584	-0.399572276	2.58E-10
ENST00000375142.1	CAPZB	1	9	19669255	19811932	834	3.71E-06	8.21E-06	7.54E-07	38	35	2	43.07233347	91.25270364	11.10158054	0.479134881	2.880294979	2.705914776	0.592160351
ENST00000361640.4	AKR7A3	1	7	19609224	19615203	996	6.86E-06	1.39E-05	7.36E-07	54	126	13	71.46098008	142.1344011	10.85869406	1.280511862	0.661941611	-0.643694225	6.14E-10
ENST00000294543.6	TMCO4	1	13	20009532	20107251	1905	1.09E-05	2.18E-05	1.78E-06	126	265	21	124.6298193	245.4209376	25.18410939	-0.076089109	-0.61129854	0.825903725	9.98E-13
ENST00000289749.2	NBL1	1	4	19969805	19983622	651	3.75E-06	6.96E-06	3.59E-07	34	51	2	34.38711124	63.84013469	4.837414389	0.040924747	0.78602974	1.27792616	0.108864873
ENST00000375341.3	ALDH4A1	1	15	19199338	19229017	1692	1.23E-05	2.36E-05	1.67E-06	99	231	9	113.5121797	213.5770715	20.27747169	0.844425713	-0.583122084	2.480815991	0.000434044
ENST00000477853.1	EMC1	1	23	19545796	19578003	2982	1.37E-05	3.26E-05	3.03E-06	160	320	28	161.8682775	372.3360794	43.52710631	0.091036411	1.326631326	2.331311565	6.04E-14
ENST00000375375.3	PAX7	1	8	18958097	19062533	1563	1.09E-05	2.21E-05	1.22E-06	113	181	3	118.621615	235.2309756	15.92352785	0.319983433	1.729485004	3.208123997	0.6298293
ENST00000289753.1	HTR6	1	3	19992246	20005861	1323	1.20E-05	2.11E-05	4.67E-07	101	182	5	133.4598365	233.0335098	6.369346628	1.741887309	1.635168716	0.537471754	0.001067254
ENST00000420396.2	AKR7L	1	4	19593793	19597306	462	3.39E-06	5.72E-06	3.47E-07	30	52	4	39.54880001	65.10676449	5.46880622	0.941307779	0.794508949	0.622168347	0.004382442
ENST00000375371.3	TAS1R2	1	6	19166092	19186154	2520	1.49E-05	3.15E-05	1.29E-06	176	361	18	163.6377158	343.1345605	16.53856866	-0.599110686	-0.471733747	-0.355974653	6.18E-13
ENST00000375153.3	PQLC2	1	7	19644171	19655137	876	5.99E-06	1.12E-05	9.46E-07	65	103	8	67.64894762	123.9236541	13.33524901	0.199660727	0.919343409	1.447250721	0.000146809
ENST00000375120.3	OTUD3	1	8	20209006	20234239	1197	6.28E-06	1.48E-05	1.12E-06	46	100	9	47.32102649	113.8832906	13.4799472	0.119051542	0.63632521	1.208699994	2.63E-05
ENST00000322753.6	MINOS1	1	4	19923539	19952895	237	1.14E-06	2.42E-06	2.41E-07	9	35	1	14.38267685	28.66286296	4.252225363	0.879889507	-0.57896184	1.562291819	0.348880395
ENST00000455833.2	IFFO2	1	9	19235054	19282826	1554	1.53E-05	2.74E-05	1.29E-06	21	34	1	40.65144829	75.06083364	4.601519692	1.91075961	2.318128358	1.663124758	0.382583916
ENST00000235835.3	AKR7A2	1	7	19630718	19638618	1080	8.89E-06	1.63E-05	6.77E-07	69	142	9	87.17579318	159.1677741	10.18889369	1.206826476	0.665585008	0.368951475	3.56E-06
ENST00000602662.1	MINOS1-NBL1	1	3	19981523	19983622	546	3.28E-06	5.94E-06	2.87E-07	30	39	2	29.23154946	53.03272074	3.729529159	-0.088112824	0.942510854	0.887136763	0.068107983
ENST00000375121.2	RNF186	1	1	20140910	20141594	684	3.79E-06	7.93E-06	3.45E-07	56	91	3	43.30673	90.2919976	4.33084518	-1.195763442	-0.036443919	0.633477079	0.015478324
ENST00000330263.4	MRTO4	1	8	19578329	19585324	720	3.17E-06	7.37E-06	6.82E-07	47	102	1	38.39753532	84.46116725	10.77135674	-0.860637775	-0.933444532	2.949234924	0.86997792
ENST00000318249.5	NBPF3	1	14	21771579	21809879	1902	7.70E-06	1.65E-05	1.99E-06	58	145	20	87.45655292	181.3311278	26.16306944	1.952698421	1.319650271	1.193554738	1.98E-11
ENST00000321556.4	PINK1	1	8	20960041	20977184	1746	1.16E-05	2.42E-05	1.45E-06	104	210	12	103.6530225	212.287488	16.27160675	-0.021129443	0.076791883	1.048976379	4.08E-07
ENST00000375048.3	DDOST	1	11	20978871	20987894	1371	8.24E-06	1.71E-05	9.91E-07	79	158	4	81.52072032	167.4801503	13.95637392	0.173077277	0.358304476	2.640004142	0.134980574
ENST00000602326.1	EIF4G3	1	31	21133811	21329235	4776	1.67E-05	4.23E-05	4.14E-06	206	379	3	197.3160433	482.3435239	57.77737872	-0.383255237	2.301555486	7.138583201	0.999999907
ENST00000375071.3	CDA	1	4	20915622	20945061	441	2.07E-06	4.45E-06	3.10E-07	20	54	0	22.90288492	47.90580934	4.852904188	0.37603951	-0.430663786	2.182179859	0.787227682
ENST00000375108.3	PLA2G5	1	4	20411323	20417185	417	2.57E-06	5.06E-06	4.71E-07	19	54	6	29.9296528	57.15114231	6.816996025	1.238525368	0.203878646	0.309965322	0.000190275
ENST00000374893.6	ECE1	1	19	21546447	21616907	2313	1.45E-05	2.88E-05	1.98E-06	140	199	1	153.6540985	304.4803454	28.06480376	0.682873941	2.956706512	5.060735125	0.999768646
ENST00000375078.3	CAMK2N1	1	2	20810141	20811872	237	2.40E-06	3.98E-06	1.24E-07	11	12	1	19.27143517	31.63224463	1.652517064	1.168082415	1.707345381	0.502815386	0.138563182
ENST00000375102.3	PLA2G2F	1	5	20465920	20474894	636	3.40E-06	7.10E-06	4.80E-07	36	90	8	36.40015535	72.943786	6.653485689	0.041117952	-0.976798118	-0.517101805	2.10E-06
ENST00000264198.3	MUL1	1	4	20827182	20834517	1059	5.55E-06	1.24E-05	8.03E-07	61	108	9	60.30541349	133.7073428	10.16175574	-0.055449784	1.087415145	0.361010741	3.49E-06
ENST00000444387.2	SH2D5	1	9	21048284	21054537	1272	7.46E-06	1.79E-05	1.02E-06	86	178	6	70.22729897	165.0462885	12.04776788	-1.166816309	-0.493182113	1.725963045	0.002653616
ENST00000247986.2	KIF17	1	15	20991076	21044199	3090	2.09E-05	4.19E-05	1.92E-06	209	414	22	232.3681077	461.4899801	26.64069706	0.95035222	1.081278319	0.890635768	3.34E-13
ENST00000375111.3	PLA2G2A	1	4	20302193	20305266	435	1.90E-06	4.68E-06	2.80E-07	22	37	1	22.48330571	53.34936615	4.760370178	0.063189528	1.094845484	1.707261076	0.398124558
ENST00000375105.3	PLA2G2D	1	4	20440606	20445991	438	1.73E-06	4.33E-06	4.60E-07	32	61	6	20.86307717	49.41837994	6.713244658	-1.511559873	-0.805826494	0.272685458	0.000177683
ENST00000429261.2	PLA2G2C	1	4	20490483	20503856	450	1.99E-06	4.05E-06	4.11E-07	25	50	5	21.38606828	41.11582192	5.358681162	-0.484466449	-0.677687219	0.153486192	0.000569563
ENST00000375116.3	PLA2G2E	1	4	20246799	20250052	429	2.92E-06	5.81E-06	3.17E-07	25	58	5	31.72832123	62.26165806	4.617977625	0.740512738	0.264170852	-0.176097265	0.000343166
ENST00000375099.3	UBXN10	1	1	20517054	20517897	843	3.47E-06	8.31E-06	6.25E-07	43	98	6	39.69293	94.5833933	7.50575765	-0.325414029	-0.171832172	0.544436855	0.000293935
ENST00000312239.5	HP1BP3	1	12	21071289	21106933	1662	6.05E-06	1.40E-05	1.21E-06	82	124	1	72.93575879	162.0235858	18.45259907	-0.657976868	1.46110203	4.02458409	0.991643468
ENST00000290101.4	RAP1GAP	1	24	21924212	21978315	2184	1.48E-05	2.86E-05	2.12E-06	137	193	4	149.7235628	276.5113475	28.61419708	0.644635664	2.456434974	4.558107712	0.974156915
ENST00000166244.3	EPHA8	1	17	22890128	22928234	3018	2.24E-05	4.73E-05	2.53E-06	183	447	18	223.3901713	472.4406797	31.77546456	1.675303098	0.572495172	2.420750289	1.14E-08
ENST00000314933.6	C1QB	1	2	22985949	22987879	762	3.99E-06	8.82E-06	3.10E-07	51	73	2	45.25623254	99.19494234	4.257871043	-0.529306622	1.286438699	1.083908532	0.085881049
ENST00000404138.1	ZBTB40	1	17	22816441	22852889	3720	1.47E-05	3.33E-05	2.26E-06	178	353	14	174.053673	384.3455033	32.73524487	-0.185437659	0.782043261	3.243705114	1.21E-05
ENST00000374639.3	C1QC	1	2	22970516	22974276	738	5.44E-06	8.78E-06	3.74E-07	63	77	3	55.6555953	91.0588279	4.555151195	-0.61031121	0.720617089	0.721790069	0.017381903
ENST00000302291.4	LUZP1	1	2	23415387	23420754	3231	1.27E-05	3.07E-05	2.16E-06	165	350	6	145.118819	349.1575662	25.30627408	-1.023128572	-0.022050784	3.801667346	0.287846256
ENST00000290122.3	CELA3A	1	8	22328167	22338960	813	4.68E-06	9.67E-06	9.88E-07	57	124	12	55.80784784	111.7675827	14.14715154	-0.098931075	-0.565939613	0.565480822	9.82E-08
ENST00000374632.3	EPHB2	1	16	23037475	23240063	2964	1.92E-05	4.15E-05	1.94E-06	197	309	0	212.8956665	460.4828854	27.6800067	0.675376168	3.452815075	5.211620866	0.999948635
ENST00000344642.2	LDLRAD2	1	5	22138944	22148708	819	6.75E-06	1.20E-05	4.79E-07	52	99	6	66.86973842	118.4860425	6.855416737	1.127296072	0.87559971	0.323631245	0.000195123
ENST00000374840.3	ALPL	1	11	21880574	21904141	1575	1.07E-05	1.97E-05	1.25E-06	111	171	8	122.6568377	221.3412483	18.37819676	0.652503855	1.655041776	2.398060527	0.001106496
ENST00000344548.3	CDC42	1	5	22404971	22418010	576	2.29E-06	5.13E-06	4.73E-07	35	9	1	28.066369	60.2563863	7.45868132	-0.811366341	3.229705629	2.342623592	0.656574472
ENST00000374642.3	C1QA	1	2	22964109	22965900	738	4.20E-06	9.21E-06	5.70E-07	41	68	3	46.5290199	100.6839576	6.885141873	0.502499556	1.593204373	1.46669591	0.049789979
ENST00000290167.6	WNT4	1	5	22446542	22469415	1056	8.27E-06	1.70E-05	7.89E-07	74	95	3	84.39814	173.1576055	9.99478927	0.701679202	2.905138873	2.191681722	0.153837856
ENST00000337107.6	CELA3B	1	8	22303532	22315772	813	4.99E-06	1.06E-05	8.57E-07	46	120	14	58.28601367	120.3172627	12.34684647	0.997649825	0.014148894	-0.466041772	2.12E-10
ENST00000308271.9	USP48	1	27	22005909	22109450	3108	1.17E-05	2.95E-05	3.12E-06	116	165	2	133.3192727	320.8097773	44.50631412	0.929893665	4.254881038	6.311496288	0.999997429
ENST00000374619.1	HTR1D	1	1	23519578	23520712	1134	5.62E-06	1.24E-05	4.28E-07	62	148	0	64.07945	140.6733668	5.26807888	0.161041773	-0.302143294	2.273609276	0.813006425
ENST00000374695.3	HSPG2	1	97	22149808	22263710	13176	8.90E-05	0.000181365	1.20E-05	882	1749	42	910.4239709	1825.02363	154.7068556	0.58399993	0.870428053	8.976049925	6.95E-06
ENST00000400181.4	KDM1A	1	21	23346089	23409857	2631	1.27E-05	2.85E-05	2.59E-06	107	91	5	124.0197335	281.6114538	35.89812667	0.947449431	5.555721064	5.10841221	0.991027965
ENST00000374555.3	MDS2	1	4	23956044	23967039	423	1.46E-06	3.57E-06	2.87E-07	11	23	2	9.236751264	20.37497265	2.77837615	-0.359669396	-0.284447573	0.462576613	0.042965573
ENST00000374616.3	HNRNPR	1	10	23636946	23667501	1911	6.86E-06	1.85E-05	1.41E-06	75	107	0	81.62810966	213.2995593	19.95998642	0.45479878	3.560025001	4.425576503	0.999079074
