A1BG	alpha-1-B glycoprotein
AGFG1	ArfGAP with FG repeats 1
AGFG2	ArfGAP with FG repeats 2
AGGF1	angiogenic factor with G-patch and FHA domains 1
AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2
AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3
AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4
AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5
AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6
AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7
AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8
AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10
AGK	acylglycerol kinase
AGKP1	acylglycerol kinase pseudogene 1
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
AGMAT	agmatinase
AGMO	alkylglycerol monooxygenase
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)
AGO1	argonaute 1, RISC catalytic component
AGO2	argonaute 2, RISC catalytic component
AGO3	argonaute 3, RISC catalytic component
AGO4	argonaute 4, RISC catalytic component
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT4-IT1	AGPAT4 intronic transcript 1
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1
AGPS	alkylglycerone phosphate synthase
AGR2	anterior gradient 2, protein disulphide isomerase family member
AGR3	anterior gradient 3, protein disulphide isomerase family member
AGRN	agrin
AGRP	agouti related neuropeptide
AGT	angiotensinogen
AGTPBP1	ATP/GTP binding protein 1
AGTR1	angiotensin II receptor type 1
AGTR2	angiotensin II receptor type 2
AGTRAP	angiotensin II receptor associated protein
AGXT	alanine-glyoxylate aminotransferase
AGXT2	alanine-glyoxylate aminotransferase 2
AHCTF1	AT-hook containing transcription factor 1
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1
AHCY	adenosylhomocysteinase
AHCYL1	adenosylhomocysteinase like 1
AHCYL2	adenosylhomocysteinase like 2
AHCYP1	adenosylhomocysteinase pseudogene 1
AHCYP2	adenosylhomocysteinase pseudogene 2
AHCYP3	adenosylhomocysteinase pseudogene 3
AHCYP4	adenosylhomocysteinase pseudogene 4
AHCYP5	adenosylhomocysteinase pseudogene 5
AHCYP6	adenosylhomocysteinase pseudogene 6
AHCYP7	adenosylhomocysteinase pseudogene 7
AHCYP8	adenosylhomocysteinase pseudogene 8
AHDC1	AT-hook DNA binding motif containing 1
AHI1	Abelson helper integration site 1
AHNAK	AHNAK nucleoprotein
AHNAK2	AHNAK nucleoprotein 2
AHR	aryl hydrocarbon receptor
AHRR	aryl-hydrocarbon receptor repressor
AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)
AHSG	alpha-2-HS-glycoprotein
AHSP	alpha hemoglobin stabilizing protein
AIC	Aicardi syndrome
AICDA	activation-induced cytidine deaminase
AIDA	axin interactor, dorsalization associated
AIF1	allograft inflammatory factor 1
AIF1L	allograft inflammatory factor 1 like
AIFM1	apoptosis inducing factor, mitochondria associated 1
AIFM1P1	apoptosis inducing factor, mitochondria associated 1 pseudogene 1
AIFM2	apoptosis inducing factor, mitochondria associated 2
AIFM3	apoptosis inducing factor, mitochondria associated 3
AIG1	androgen-induced 1
AIG1P1	androgen-induced 1 pseudogene 1
AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type
AIM1	absent in melanoma 1
AIM1L	absent in melanoma 1-like
AIM2	absent in melanoma 2
AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
AIMP1P1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 1
AIMP1P2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 2
AIMP2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
AIP	aryl hydrocarbon receptor interacting protein
AIPL1	aryl hydrocarbon receptor interacting protein like 1
AIRE	autoimmune regulator
AIRN	antisense of IGF2R non-protein coding RNA
AIS1	autoimmune susceptibility 1
AIS2	autoimmune susceptibility 2
AIS3	autoimmune susceptibility 3 (vitiligo specific)
AJAP1	adherens junctions associated protein 1
AJUBA	ajuba LIM protein
AK1	adenylate kinase 1
AK2	adenylate kinase 2
AK2P1	adenylate kinase 2 pseudogene 1
AK2P2	adenylate kinase 2 pseudogene 2
AK3	adenylate kinase 3
AK3P2	adenylate kinase 3 pseudogene 2
AK3P3	adenylate kinase 3 pseudogene 3
AK3P4	adenylate kinase 3 pseudogene 4
AK3P5	adenylate kinase 3 pseudogene 5
AK3P6	adenylate kinase 3 pseudogene 6
AK4	adenylate kinase 4
AK4P1	adenylate kinase 4 pseudogene 1
AK4P2	adenylate kinase 4 pseudogene 2
AK4P3	adenylate kinase 4 pseudogene 3
AK4P4	adenylate kinase 4 pseudogene 4
AK4P5	adenylate kinase 4 pseudogene 5
AK4P6	adenylate kinase 4 pseudogene 6
AK5	adenylate kinase 5
AK6	adenylate kinase 6
AK6P1	adenylate kinase 6 pseudogene 1
AK6P2	adenylate kinase 6 pseudogene 2
AK7	adenylate kinase 7
AK8	adenylate kinase 8
AK9	adenylate kinase 9
AKAP1	A-kinase anchoring protein 1
AKAP2	A-kinase anchoring protein 2
AKAP3	A-kinase anchoring protein 3
AKAP4	A-kinase anchoring protein 4
AKAP5	A-kinase anchoring protein 5
AKAP6	A-kinase anchoring protein 6
AKAP7	A-kinase anchoring protein 7
AKAP8	A-kinase anchoring protein 8
AKAP8L	A-kinase anchoring protein 8 like
AKAP8P1	A-kinase anchoring protein 8 pseudogene 1
AKAP9	A-kinase anchoring protein 9
AKAP10	A-kinase anchoring protein 10
AKAP11	A-kinase anchoring protein 11
AKAP12	A-kinase anchoring protein 12
AKAP13	A-kinase anchoring protein 13
AKAP14	A-kinase anchoring protein 14
AKAP17A	A-kinase anchoring protein 17A
AKAP17BP	A-kinase anchoring protein 17B, pseudogene
AKIP1	A-kinase interacting protein 1
AKIRIN1	akirin 1
AKIRIN1P1	akirin 1 pseudogene 1
AKIRIN1P2	akirin 1 pseudogene 2
AKIRIN2	akirin 2
AKIRIN2P1	akirin 2 pseudogene 1
AKNA	AT-hook transcription factor
AKNAD1	AKNA domain containing 1
AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
AKR1B1P1	aldehyde reductase family 1, member B1 pseudogene 1
AKR1B1P2	aldo-keto reductase family 1, member B1 pseudogene 2
AKR1B1P3	aldo-keto reductase family 1, member B1 pseudogene 3
AKR1B1P4	aldo-keto reductase family 1, member B1 pseudogene 4
AKR1B1P5	aldo-keto reductase family 1, member B1 pseudogene 5
AKR1B1P6	aldo-keto reductase family 1, member B1 pseudogene 6
AKR1B1P7	aldo-keto reductase family 1, member B1 pseudogene 7
AKR1B1P8	aldo-keto reductase family 1, member B1 pseudogene 8
AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)
AKR1B10P1	aldo-keto reductase family 1, member B10 pseudogene 1
AKR1B10P2	aldo-keto reductase family 1, member B10 pseudogene 2
AKR1B15	aldo-keto reductase family 1, member B15
AKR1C1	aldo-keto reductase family 1, member C1
AKR1C2	aldo-keto reductase family 1, member C2
AKR1C3	aldo-keto reductase family 1, member C3
AKR1C4	aldo-keto reductase family 1, member C4
AKR1C5P	aldo-keto reductase family 1, member C5, pseudogene
AKR1C6P	aldo-keto reductase family 1, member C6, pseudogene
AKR1C7P	aldo-keto reductase family 1, member C7, pseudogene
AKR1C8P	aldo-keto reductase family 1, member C8, pseudogene
AKR1D1	aldo-keto reductase family 1, member D1
AKR1D1P1	aldo-keto reductase family 1, member D1 pseudogene 1
AKR1E2	aldo-keto reductase family 1, member E2
AKR7A2	aldo-keto reductase family 7, member A2
AKR7A2P1	aldo-keto reductase family 7, member A2 pseudogene 1
AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
AKR7L	aldo-keto reductase family 7-like (gene/pseudogene)
AKT1	v-akt murine thymoma viral oncogene homolog 1
AKT1S1	AKT1 substrate 1 (proline rich)
AKT2	v-akt murine thymoma viral oncogene homolog 2
AKT3	v-akt murine thymoma viral oncogene homolog 3
AKT3-IT1	AKT3 intronic transcript 1
AKTIP	AKT interacting protein
ALAD	aminolevulinate dehydratase
ALAS1	5'-aminolevulinate synthase 1
ALAS2	5'-aminolevulinate synthase 2
ALB	albumin
ALCAM	activated leukocyte cell adhesion molecule
ALDH1A1	aldehyde dehydrogenase 1 family member A1
ALDH1A2	aldehyde dehydrogenase 1 family member A2
ALDH1A3	aldehyde dehydrogenase 1 family member A3
ALDH1B1	aldehyde dehydrogenase 1 family member B1
ALDH1L1	aldehyde dehydrogenase 1 family member L1
ALDH1L1-AS1	ALDH1L1 antisense RNA 1
ALDH1L1-AS2	ALDH1L1 antisense RNA 2
ALDH1L2	aldehyde dehydrogenase 1 family member L2
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
ALDH3A1	aldehyde dehydrogenase 3 family member A1
ALDH3A2	aldehyde dehydrogenase 3 family member A2
ALDH3B1	aldehyde dehydrogenase 3 family member B1
ALDH3B2	aldehyde dehydrogenase 3 family member B2
ALDH4A1	aldehyde dehydrogenase 4 family member A1
ALDH5A1	aldehyde dehydrogenase 5 family member A1
ALDH6A1	aldehyde dehydrogenase 6 family member A1
ALDH7A1	aldehyde dehydrogenase 7 family member A1
ALDH7A1P1	aldehyde dehydrogenase 7 family member A1 pseudogene 1
ALDH7A1P2	aldehyde dehydrogenase 7 family member A1 pseudogene 2
ALDH7A1P3	aldehyde dehydrogenase 7 family member A1 pseudogene 3
ALDH7A1P4	aldehyde dehydrogenase 7 family member A1 pseudogene 4
ALDH8A1	aldehyde dehydrogenase 8 family member A1
ALDH9A1	aldehyde dehydrogenase 9 family member A1
ALDH16A1	aldehyde dehydrogenase 16 family member A1
ALDH18A1	aldehyde dehydrogenase 18 family member A1
ALDOA	aldolase, fructose-bisphosphate A
ALDOAP1	aldolase, fructose-bisphosphate A pseudogene 1
ALDOAP2	aldolase, fructose-bisphosphate A pseudogene 2
ALDOB	aldolase, fructose-bisphosphate B
ALDOC	aldolase, fructose-bisphosphate C
ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG1L	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like
ALG1L2	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like 2
ALG1L3P	asparagine-linked glycosylation 1-like 3, pseudogene
ALG1L5P	asparagine-linked glycosylation 1-like 5, pseudogene
ALG1L6P	asparagine-linked glycosylation 1-like 6, pseudogene
ALG1L7P	asparagine-linked glycosylation 1-like 7, pseudogene
ALG1L8P	asparagine-linked glycosylation 1-like 8, pseudogene
ALG1L9P	asparagine-linked glycosylation 1-like 9, pseudogene
ALG1L10P	asparagine-linked glycosylation 1-like 10, pseudogene
ALG1L11P	asparagine-linked glycosylation 1-like 11, pseudogene
ALG1L12P	asparagine-linked glycosylation 1-like 12, pseudogene
ALG1L13P	asparagine-linked glycosylation 1-like 13, pseudogene
ALG1L14P	asparagine-linked glycosylation 1-like 14, pseudogene
ALG1L15P	asparagine-linked glycosylation 1-like 15, pseudogene
ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase
ALG3	ALG3, alpha-1,3- mannosyltransferase
ALG3P1	ALG3, alpha-1,3- mannosyltransferase pseudogene 1
ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase
ALG6	ALG6, alpha-1,3-glucosyltransferase
ALG8	ALG8, alpha-1,3-glucosyltransferase
ALG9	ALG9, alpha-1,2-mannosyltransferase
ALG9-IT1	ALG9 intronic transcript 1
ALG10	ALG10, alpha-1,2-glucosyltransferase
ALG10B	ALG10B, alpha-1,2-glucosyltransferase
ALG11	ALG11, alpha-1,2-mannosyltransferase
ALG12	ALG12, alpha-1,6-mannosyltransferase
ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit
ALG13-AS1	ALG13 antisense RNA 1
ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit
ALK	anaplastic lymphoma receptor tyrosine kinase
ALKBH1	alkB homolog 1, histone H2A dioxygenase
ALKBH2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase
ALKBH3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase
ALKBH3-AS1	ALKBH3 antisense RNA 1
ALKBH4	alkB homolog 4, lysine demethylase
ALKBH5	alkB homolog 5, RNA demethylase
ALKBH6	alkB homolog 6
ALKBH7	alkB homolog 7
ALKBH8	alkB homolog 8, tRNA methyltransferase
ALLC	allantoicase
ALMS1	ALMS1, centrosome and basal body associated protein
ALMS1-IT1	ALMS1 intronic transcript 1
ALMS1P1	ALMS1, centrosome and basal body associated protein pseudogene 1
ALOX5	arachidonate 5-lipoxygenase
ALOX5AP	arachidonate 5-lipoxygenase activating protein
ALOX12	arachidonate 12-lipoxygenase
ALOX12-AS1	ALOX12 antisense RNA 1
ALOX12B	arachidonate 12-lipoxygenase, 12R type
ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1
ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2
ALOX15	arachidonate 15-lipoxygenase
ALOX15B	arachidonate 15-lipoxygenase, type B
ALOX15P1	arachidonate 15-lipoxygenase pseudogene 1
ALOX15P2	arachidonate 15-lipoxygenase pseudogene 2
ALOXE3	arachidonate lipoxygenase 3
ALOXE3P1	arachidonate lipoxygenase 3 pseudogene 1
ALPI	alkaline phosphatase, intestinal
ALPK1	alpha kinase 1
ALPK2	alpha kinase 2
ALPK3	alpha kinase 3
ALPL	alkaline phosphatase, liver/bone/kidney
ALPP	alkaline phosphatase, placental
ALPPL2	alkaline phosphatase, placental like 2
ALPPP	alkaline phosphatase, pseudogene
ALS2	ALS2, alsin Rho guanine nucleotide exchange factor
ALS2CL	ALS2 C-terminal like
ALS2CR11	amyotrophic lateral sclerosis 2 chromosome region candidate 11
ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region candidate 12
ALS3	amyotrophic lateral sclerosis 3 (autosomal dominant)
ALS5	amyotrophic lateral sclerosis 5
ALS7	amyotrophic lateral sclerosis 7
ALX1	ALX homeobox 1
ALX3	ALX homeobox 3
ALX4	ALX homeobox 4
ALYREF	Aly/REF export factor
AMACR	alpha-methylacyl-CoA racemase
AMBN	ameloblastin
AMBP	alpha-1-microglobulin/bikunin precursor
AMBRA1	autophagy/beclin-1 regulator 1
AMCN	arthrogryposis multiplex congenita, neurogenic
AMD1	adenosylmethionine decarboxylase 1
AMD1P1	adenosylmethionine decarboxylase 1 pseudogene 1
AMD1P2	adenosylmethionine decarboxylase 1 pseudogene 2
AMD1P3	adenosylmethionine decarboxylase 1 pseudogene 3
AMD1P4	adenosylmethionine decarboxylase 1 pseudogene 4
AMDHD1	amidohydrolase domain containing 1
AMDHD2	amidohydrolase domain containing 2
AMELX	amelogenin, X-linked
AMELY	amelogenin, Y-linked
AMER1	APC membrane recruitment protein 1
AMER2	APC membrane recruitment protein 2
AMER3	APC membrane recruitment protein 3
AMFR	autocrine motility factor receptor
AMH	anti-Mullerian hormone
AMHR2	anti-Mullerian hormone receptor type II
AMIGO1	adhesion molecule with Ig-like domain 1
AMIGO2	adhesion molecule with Ig-like domain 2
AMIGO3	adhesion molecule with Ig-like domain 3
AMLCR2	acute myeloid leukemia chromosome region 2
AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1
AMMECR1-IT1	AMMECR1 intronic transcript 1
AMMECR1L	AMMECR1 like
AMMECR1LP1	AMMECR1 like pseudogene 1
AMN	amnion associated transmembrane protein
AMN1	antagonist of mitotic exit network 1 homolog
AMOT	angiomotin
AMOTL1	angiomotin like 1
AMOTL2	angiomotin like 2
AMPD1	adenosine monophosphate deaminase 1
AMPD2	adenosine monophosphate deaminase 2
AMPD3	adenosine monophosphate deaminase 3
AMPH	amphiphysin
AMT	aminomethyltransferase
AMTN	amelotin
AMY1A	amylase, alpha 1A (salivary)
AMY1B	amylase, alpha 1B (salivary)
AMY1C	amylase, alpha 1C (salivary)
AMY2A	amylase, alpha 2A (pancreatic)
AMY2B	amylase, alpha 2B (pancreatic)
AMYP1	amylase, alpha pseudogene 1
AMZ1	archaelysin family metallopeptidase 1
AMZ2	archaelysin family metallopeptidase 2
AMZ2P1	archaelysin family metallopeptidase 2 pseudogene 1
AMZ2P2	archaelysin family metallopeptidase 2 pseudogene 2
ANAPC1	anaphase promoting complex subunit 1
ANAPC1P1	anaphase promoting complex subunit 1 pseudogene 1
ANAPC2	anaphase promoting complex subunit 2
ANAPC4	anaphase promoting complex subunit 4
ANAPC5	anaphase promoting complex subunit 5
ANAPC7	anaphase promoting complex subunit 7
ANAPC10	anaphase promoting complex subunit 10
ANAPC10P1	anaphase promoting complex subunit 10 pseudogene 1
ANAPC11	anaphase promoting complex subunit 11
ANAPC13	anaphase promoting complex subunit 13
ANAPC15	anaphase promoting complex subunit 15
ANAPC16	anaphase promoting complex subunit 16
ANCR	Angelman syndrome chromosome region
ANG	angiogenin, ribonuclease, RNase A family, 5
ANGEL1	angel homolog 1 (Drosophila)
ANGEL2	angel homolog 2 (Drosophila)
ANGPT1	angiopoietin 1
ANGPT2	angiopoietin 2
ANGPT4	angiopoietin 4
ANGPTL1	angiopoietin like 1
ANGPTL2	angiopoietin like 2
ANGPTL3	angiopoietin like 3
ANGPTL4	angiopoietin like 4
ANGPTL5	angiopoietin like 5
ANGPTL6	angiopoietin like 6
ANGPTL7	angiopoietin like 7
ANGPTL8	angiopoietin like 8
ANHX	anomalous homeobox
ANIB1	aneurysm, intracranial berry 1
ANIB2	aneurysm, intracranial berry 2
ANIB3	aneurysm, intracranial berry 3
ANIB4	aneurysm, intracranial berry 4
ANK1	ankyrin 1
ANK2	ankyrin 2, neuronal
ANK3	ankyrin 3, node of Ranvier (ankyrin G)
ANKAR	ankyrin and armadillo repeat containing
ANKDD1A	ankyrin repeat and death domain containing 1A
ANKDD1B	ankyrin repeat and death domain containing 1B
ANKEF1	ankyrin repeat and EF-hand domain containing 1
ANKFN1	ankyrin repeat and fibronectin type III domain containing 1
ANKFY1	ankyrin repeat and FYVE domain containing 1
ANKH	ANKH inorganic pyrophosphate transport regulator
ANKHD1	ankyrin repeat and KH domain containing 1
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough
ANKIB1	ankyrin repeat and IBR domain containing 1
ANKK1	ankyrin repeat and kinase domain containing 1
ANKLE1	ankyrin repeat and LEM domain containing 1
ANKLE2	ankyrin repeat and LEM domain containing 2
ANKMY1	ankyrin repeat and MYND domain containing 1
ANKMY2	ankyrin repeat and MYND domain containing 2
ANKRA2	ankyrin repeat family A member 2
ANKRD1	ankyrin repeat domain 1
ANKRD2	ankyrin repeat domain 2
ANKRD6	ankyrin repeat domain 6
ANKRD7	ankyrin repeat domain 7
ANKRD9	ankyrin repeat domain 9
ANKRD10	ankyrin repeat domain 10
ANKRD10-IT1	ANKRD10 intronic transcript 1
ANKRD11	ankyrin repeat domain 11
ANKRD12	ankyrin repeat domain 12
ANKRD13A	ankyrin repeat domain 13A
ANKRD13B	ankyrin repeat domain 13B
ANKRD13C	ankyrin repeat domain 13C
ANKRD13D	ankyrin repeat domain 13 family member D
ANKRD16	ankyrin repeat domain 16
ANKRD17	ankyrin repeat domain 17
ANKRD18A	ankyrin repeat domain 18A
ANKRD18B	ankyrin repeat domain 18B
ANKRD18CP	ankyrin repeat domain 18C, pseudogene
ANKRD18DP	ankyrin repeat domain 18D, pseudogene
ANKRD18EP	ankyrin repeat domain 18E, pseudogene
ANKRD19P	ankyrin repeat domain 19, pseudogene
ANKRD20A1	ankyrin repeat domain 20 family member A1
ANKRD20A2	ankyrin repeat domain 20 family member A2
ANKRD20A3	ankyrin repeat domain 20 family member A3
ANKRD20A4	ankyrin repeat domain 20 family member A4
ANKRD20A5P	ankyrin repeat domain 20 family member A5, pseudogene
ANKRD20A6P	ankyrin repeat domain 20 family member A6, pseudogene
ANKRD20A7P	ankyrin repeat domain 20 family member A7, pseudogene
ANKRD20A8P	ankyrin repeat domain 20 family member A8, pseudogene
ANKRD20A9P	ankyrin repeat domain 20 family member A9, pseudogene
ANKRD20A10P	ankyrin repeat domain 20 family member A10, pseudogene
ANKRD20A11P	ankyrin repeat domain 20 family member A11, pseudogene
ANKRD20A12P	ankyrin repeat domain 20 family member A12, pseudogene
ANKRD20A13P	ankyrin repeat domain 20 family member A13, pseudogene
ANKRD20A14P	ankyrin repeat domain 20 family member A14, pseudogene
ANKRD20A15P	ankyrin repeat domain 20 family member A15, pseudogene
ANKRD20A16P	ankyrin repeat domain 20 family member A16, pseudogene
ANKRD20A17P	ankyrin repeat domain 20 family member A17, pseudogene
ANKRD20A18P	ankyrin repeat domain 20 family member A18, pseudogene
ANKRD20A19P	ankyrin repeat domain 20 family member A19, pseudogene
ANKRD20A20P	ankyrin repeat domain 20 family member A20, pseudogene
ANKRD22	ankyrin repeat domain 22
ANKRD23	ankyrin repeat domain 23
ANKRD24	ankyrin repeat domain 24
ANKRD26	ankyrin repeat domain 26
ANKRD26P1	ankyrin repeat domain 26 pseudogene 1
ANKRD26P2	ankyrin repeat domain 26 pseudogene 2
ANKRD26P3	ankyrin repeat domain 26 pseudogene 3
ANKRD26P4	ankyrin repeat domain 26 pseudogene 4
ANKRD27	ankyrin repeat domain 27
ANKRD28	ankyrin repeat domain 28
ANKRD29	ankyrin repeat domain 29
ANKRD30A	ankyrin repeat domain 30A
ANKRD30B	ankyrin repeat domain 30B
ANKRD30BL	ankyrin repeat domain 30B-like
ANKRD30BP1	ankyrin repeat domain 30B pseudogene 1
ANKRD30BP2	ankyrin repeat domain 30B pseudogene 2
ANKRD30BP3	ankyrin repeat domain 30B pseudogene 3
ANKRD31	ankyrin repeat domain 31
